Rays,Angles,RMS per-pixel error
32,34,12.665128878558003
32,35,12.45314770636497
32,36,9.216682257326196
32,37,7.306438239562837
32,38,6.206993188960709
32,39,3.8080383235140554
32,40,0.6375331181773445
33,10,39.86482260454026
33,11,40.55948117802943
33,12,37.93336856321433
33,13,35.44412381907577
33,14,35.12077019872675
33,15,32.68046295960731
33,16,32.211922504620766
33,17,30.403487885806083
33,18,31.04380931587186
33,19,29.01044206401317
33,20,28.609722647162684
33,21,27.07487532305674
33,22,25.202382953193236
33,23,24.987273296895285
33,24,23.94712599208803
33,25,22.573541536727163
33,26,20.187466115920508
33,27,20.312494086224927
33,28,19.50758403899361
33,29,18.109313206215635
33,30,18.02523591676796
33,31,16.98154216025937
33,32,15.650136536819339
33,33,15.147722398533196
33,34,15.28140698300231
33,35,12.745991629486584
33,36,11.376998874914602
33,37,9.79349338879323
33,38,9.21992768024782
33,39,5.898906756348404
33,40,0.00000000019401384719087067
34,10,39.96024858497652
34,11,39.39065504171079
34,12,37.08388569606824
34,13,34.764262661733476
34,14,34.33388031584275
34,15,32.709240338431094
34,16,29.692702760188222
34,17,30.071819589889248
34,18,29.033273290382887
34,19,28.470948768989846
34,20,26.509470011179893
34,21,26.742475234329966
34,22,26.71217662360265
34,23,23.218887994314922
34,24,23.34440765806961
34,25,21.590903645095707
34,26,20.079085588082982
34,27,19.238946878211713
34,28,18.533891641130307
34,29,16.24858127983931
34,30,16.349401676519037
34,31,14.478312962841319
34,32,12.660442417921619
34,33,10.640671627654571
34,34,11.082227382208673
34,35,7.345774116368116
34,36,4.1399098573090285
34,37,3.3998873877905624
34,38,1.6399029207750397
34,39,0.000000000012630978869536872
34,40,0.00000001696770828139494
35,10,38.55525048083844
35,11,38.707079247244835
35,12,35.58829581243068
35,13,34.615681747774794
35,14,32.53555837578065
35,15,32.1171626670049
35,16,30.307439977127444
35,17,29.3563779843308
35,18,27.111933413644124
35,19,27.33557636980702
35,20,26.11994208573523
35,21,24.566420053117792
35,22,23.73342713312616
35,23,23.73564965474874
35,24,20.879633847482854
35,25,21.418946363097977
35,26,19.14640478710388
35,27,17.627015253282764
35,28,15.298846184579826
35,29,15.933434434455163
35,30,14.319530770612127
35,31,13.475021457527484
35,32,12.32159673286098
35,33,10.120940533951451
35,34,9.420213146167267
35,35,6.3530132651926055
35,36,6.597405362210785
35,37,3.8559237509954043
35,38,0.0000007730531195627971
35,39,0.000000000011534005528939894
35,40,0.00000000029271715550323496
36,10,37.05158017705278
36,11,35.81557797642228
36,12,32.848035211200816
36,13,33.82077348922089
36,14,30.07745323156707
36,15,29.705750187048157
36,16,28.1919816281398
36,17,27.137696633876008
36,18,25.325955754195274
36,19,25.272985173851367
36,20,23.748543975482846
36,21,23.272317366913523
36,22,21.959481510523403
36,23,22.080416134878803
36,24,20.276940502420626
36,25,19.198329393062313
36,26,18.488251421712217
36,27,16.96369797723129
36,28,16.07131788698635
36,29,14.884730072364006
36,30,13.574980277275369
36,31,10.97239564199409
36,32,10.04641213854975
36,33,6.95276737117997
36,34,5.00113666225533
36,35,2.122098307771694
36,36,0.000008101877291096276
36,37,0.000000000017339067798427032
36,38,0.00000000005729954582724301
36,39,0.000000000004632155969153953
36,40,0.0000000000790653541577461
37,10,37.89144801052342
37,11,34.932621644066444
37,12,32.79656598137158
37,13,30.292920358606423
37,14,29.723154484861013
37,15,27.074425954398578
37,16,26.325520270999437
37,17,25.66388079427643
37,18,23.289592822399968
37,19,23.145364531719032
37,20,21.82360830790247
37,21,21.09554510765331
37,22,20.184940000789993
37,23,19.21291871576812
37,24,18.836864499902468
37,25,17.431939423049936
37,26,14.978887598166752
37,27,16.247948434824185
37,28,13.160509367703433
37,29,12.97000693155879
37,30,11.702274575458562
37,31,9.721886181768472
37,32,8.1386904565581
37,33,6.158354057577471
37,34,3.6383802503855893
37,35,2.345103579596228
37,36,0.000000000015658457148185076
37,37,0.000000000006788227320406674
37,38,0.0000000005235326108538588
37,39,0.000000000003517277859562081
37,40,0.000000000005442551533906893
38,10,34.14778494596024
38,11,34.79565196375935
38,12,31.543573057028002
38,13,30.88958235550398
38,14,28.4839756383248
38,15,26.90423602120236
38,16,23.40113497263645
38,17,24.063166810183425
38,18,22.65963280544142
38,19,22.03420106505807
38,20,18.67302397058749
38,21,20.267931792752197
38,22,18.399225605914225
38,23,17.532530813896198
38,24,15.747590907469306
38,25,14.881862649785282
38,26,13.45505156646462
38,27,12.20767907466458
38,28,10.826259028965367
38,29,10.491689646955363
38,30,8.28126857391041
38,31,5.751487405884185
38,32,4.319750264852739
38,33,1.8504587802750798
38,34,2.8059085620531454
38,35,0.000000000010067151733324429
38,36,0.000000000012909328018948093
38,37,0.000000000004517374997354406
38,38,0.0000000018854564235456505
38,39,0.000000000003790710820924614
38,40,0.000000000006439622692314368
39,10,33.60346240673698
39,11,32.441493738216046
39,12,28.287547635971553
39,13,28.971051785702965
39,14,27.314475667824375
39,15,25.813945152500715
39,16,24.550350199750714
39,17,22.675073998085995
39,18,20.719070189079176
39,19,21.693789511393987
39,20,19.234032024230338
39,21,19.587128759815762
39,22,19.060909081121054
39,23,17.2164719025552
39,24,14.979812204106597
39,25,16.196205042921314
39,26,12.982420239980751
39,27,13.070572332719706
39,28,10.187161146664378
39,29,8.704480485520188
39,30,8.026280790944902
39,31,5.4551772129097555
39,32,1.8551652590905803
39,33,2.822231101650888
39,34,0.00000000003498542990808211
39,35,0.000000000018525406772600855
39,36,0.000000000008392708217366953
39,37,0.000000000004370856097517602
39,38,0.0000000005441367703795363
39,39,0.000000000004950477310103266
39,40,0.000000000011055039287206504
40,10,32.7251869082062
40,11,32.99068238312855
40,12,28.583526414740607
40,13,28.246081357033543
40,14,22.951789475861254
40,15,24.742890377836957
40,16,20.89992292601965
40,17,21.60643996080577
40,18,19.02358851242808
40,19,20.083104420060142
40,20,17.138000625465676
40,21,18.30377425622923
40,22,14.852004670918221
40,23,13.954623097890966
40,24,13.081403934900079
40,25,12.385750987959389
40,26,11.135319663750774
40,27,9.930462467520163
40,28,8.274225234760609
40,29,6.289865235369961
40,30,5.422996635861335
40,31,3.089369075331681
40,32,2.626594771638638
40,33,0.00000000001727446556734513
40,34,1.9165646864832275
40,35,0.000000000005457120973730882
40,36,0.000000000007670625744803941
40,37,0.000000000004282363359994638
40,38,0.00000000000679725103408386
40,39,0.0000000000046128600017464366
40,40,0.000000000003858387807664452
41,10,32.120581946302096
41,11,31.1007830192822
41,12,28.238449263223746
41,13,26.077457101994742
41,14,24.956874557695553
41,15,22.73925143066157
41,16,20.80524619644452
41,17,20.27165862415148
41,18,17.748850538989135
41,19,18.815926337201308
41,20,16.30544897958062
41,21,16.64585200139742
41,22,15.131200000190095
41,23,14.944562572330913
41,24,11.687339968492418
41,25,12.550383852738412
41,26,9.976519816859083
41,27,9.085818604870589
41,28,7.62616888857695
41,29,5.657580958310757
41,30,4.247459265541752
41,31,3.4048840137931915
41,32,0.00000000003133185132372695
41,33,0.000000000010035421502124896
41,34,0.00000027767238033437655
41,35,0.000000000010066919331136296
41,36,0.00000000002092571301097696
41,37,0.000000000003648899872373409
41,38,0.000000000009167147262717064
41,39,0.0000000000030382766876751878
41,40,0.0000691380788432626
42,10,31.113823938783067
42,11,30.524263829905568
42,12,27.634094630239023
42,13,25.686507716189347
42,14,23.8702991217946
42,15,23.568461128255286
42,16,21.46429811527239
42,17,19.36083555480323
42,18,18.411870619690127
42,19,18.399700127965946
42,20,16.867115185482522
42,21,16.64941646644109
42,22,14.313299213317418
42,23,12.597555525535943
42,24,12.154222751550627
42,25,10.715590993453075
42,26,10.380845986567019
42,27,8.54290413733155
42,28,5.44361629267291
42,29,3.1984399650912305
42,30,2.8904981975705772
42,31,0.000000000017709287512857423
42,32,0.00000000022581070098362007
42,33,0.000000000022216800125439322
42,34,0.000000000008568209774564034
42,35,0.000000000004959773302932774
42,36,0.0000000006001689051124587
42,37,0.000000000004886114720632487
42,38,0.00000000010761290844416893
42,39,0.000000000011852117744266274
42,40,0.0000000001481517525334015
43,10,31.124045080681434
43,11,29.636308173526597
43,12,26.41320864270267
43,13,24.38554798037874
43,14,23.350476944247948
43,15,21.15024212329598
43,16,19.566444699796758
43,17,19.329442681564434
43,18,16.795744821876518
43,19,16.425383683127432
43,20,15.972262241067154
43,21,13.972576904077513
43,22,13.376021038426655
43,23,11.918567519801517
43,24,11.223697561870845
43,25,9.440776970675673
43,26,9.085922706382783
43,27,6.874754900810745
43,28,6.413537620610284
43,29,3.736688891342174
43,30,1.8372330696346666
43,31,0.000000000027167236602662703
43,32,0.00000000034422293967700246
43,33,0.000000000005937529630799312
43,34,0.00000000002318510045407697
43,35,0.000000000005197192924782104
43,36,0.000000000009606438327923458
43,37,0.0000000000028771710784467495
43,38,0.000005165188418589697
43,39,0.000000000003123446097458545
43,40,0.000000000002495444110672875
44,10,30.074596279538735
44,11,29.24497470333818
44,12,25.930016189503803
44,13,23.550850380361833
44,14,21.77170838346843
44,15,20.011334233700598
44,16,18.588928017507552
44,17,18.29052201971507
44,18,16.14903530339343
44,19,15.257881520783348
44,20,14.341782032330897
44,21,13.651662956057462
44,22,12.341573474101645
44,23,12.70961213293455
44,24,10.495396024539463
44,25,8.977943443299996
44,26,8.854755653387517
44,27,6.097550769958912
44,28,3.0245303667713643
44,29,0.00000000004265772543544569
44,30,2.675029780534721
44,31,0.000000000008335035000173492
44,32,0.00000000001008435440286492
