Noise input,RMS per-pixel error out
1.0e-10,10.446474938244226
0.01,10.82339819059292
0.02,12.031556296577437
0.04,16.086298838724534
0.08,26.868825850608086
0.16,50.88061761487713
0.32,100.423799910505
0.64,200.31556618440703
1.28,400.50696141629794
